@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute header.e_phnum numeric
@attribute header.e_shnum numeric
@attribute SHT_DYNSYM.header.sh_link numeric
@attribute PT_LOAD1.header.p_vaddr numeric
@attribute PT_LOAD2.header.p_offset numeric
@attribute result {virus,begnign}

@data
8,28,7,134512640,7948,begnign
8,28,7,134512640,28420,begnign
8,28,7,134512640,53000,begnign
9,29,7,134512640,241412,begnign
8,28,7,134512640,28420,begnign
8,27,7,134512640,12044,begnign
8,28,7,134512640,12032,begnign
8,27,7,134512640,52996,begnign
8,28,7,134512640,7948,begnign
9,29,7,134512640,36616,begnign
8,28,7,134512640,48888,begnign
8,28,7,134512640,3836,begnign
8,28,7,134512640,32520,begnign
9,29,7,134512640,102128,begnign
8,28,7,134512640,28424,begnign
9,29,7,134512640,114436,begnign
8,28,7,134512640,12036,begnign
9,29,7,134512640,36608,begnign
9,29,7,134512640,53000,begnign
8,28,7,134512640,7940,begnign
8,27,7,134512640,28420,begnign
9,29,7,134512640,52992,begnign
8,28,7,134512640,7948,begnign
8,27,7,134512640,3788,begnign
8,28,7,134512640,7948,begnign
8,27,7,134512640,7948,begnign
9,29,7,134512640,93936,begnign
8,28,7,134512640,24332,begnign
8,28,7,134512640,3852,begnign
8,28,7,134512640,48896,begnign
9,28,7,134512640,28428,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,28424,begnign
8,28,7,134512640,12044,begnign
8,28,7,134512640,171780,begnign
8,28,7,134512640,12028,begnign
6,27,0,134512640,1265552,begnign
8,28,7,134512640,12044,begnign
9,29,7,134512640,53004,begnign
8,28,7,134512640,24324,begnign
8,28,7,134512640,3844,begnign
8,28,7,134512640,65292,begnign
8,28,7,134512640,28424,begnign
9,29,7,134512640,32516,begnign
9,29,7,134512640,102128,begnign
8,28,7,134512640,28424,begnign
8,28,7,134512640,28424,begnign
8,28,7,134512640,36608,begnign
9,29,7,134512640,73472,begnign
8,27,7,134512640,3852,begnign
9,29,7,134512640,48904,begnign
8,28,7,134512640,28424,begnign
8,27,7,134512640,12044,begnign
8,28,7,134512640,28424,begnign
9,29,7,134512640,52992,begnign
8,28,7,134512640,36604,begnign
8,28,7,134512640,48892,begnign
8,27,7,134512640,7948,begnign
8,28,7,134512640,53000,begnign
8,27,7,134512640,81676,begnign
8,28,7,134512640,12036,begnign
9,29,7,134512640,32512,begnign
9,29,7,134512640,24324,begnign
9,29,7,134512640,44808,begnign
9,29,7,134512640,85744,begnign
6,27,0,134512640,1265552,begnign
8,28,7,134512640,12036,begnign
8,28,7,134512640,24324,begnign
8,28,7,134512640,24324,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,12036,begnign
8,27,7,134512640,28420,begnign
9,29,7,134512640,61184,begnign
8,28,7,134512640,36620,begnign
9,29,7,134512640,65288,begnign
9,28,7,134512640,28428,begnign
9,29,7,134512640,44764,begnign
8,28,7,134512640,69352,begnign
9,29,7,134512640,93952,begnign
9,29,7,134512640,52964,begnign
8,29,7,134512640,42464,begnign
8,28,7,134512640,20220,begnign
8,28,7,134512640,20220,begnign
8,27,7,134512640,48656,begnign
9,29,7,134512640,32500,begnign
9,30,7,134512640,208076,begnign
9,29,7,134512640,73436,begnign
9,29,7,134512640,44764,begnign
9,29,7,134512640,12044,begnign
8,28,7,134512640,52988,begnign
9,29,7,134512640,167652,begnign
9,29,7,134512640,61196,begnign
8,28,7,134512640,24316,begnign
8,28,7,134512640,32484,begnign
8,28,7,0,100716,begnign
8,27,7,134512640,7828,begnign
8,28,7,134512640,20228,begnign
8,28,7,0,76404,begnign
8,28,7,134512640,36620,begnign
8,29,7,134512640,60768,begnign
8,28,7,134512640,36620,begnign
10,32,7,134512640,775556,begnign
8,28,7,0,100716,begnign
8,28,7,134512640,7916,begnign
8,28,7,134512640,327376,begnign
8,28,7,134512640,3852,begnign
8,27,7,134512640,20072,begnign
8,28,7,134512640,24332,begnign
9,29,7,134512640,48908,begnign
8,28,7,134512640,36612,begnign
9,29,7,134512640,167652,begnign
9,29,7,134512640,52964,begnign
8,28,7,134512640,36620,begnign
8,28,7,134512640,7948,begnign
9,29,7,134512640,52996,begnign
9,29,7,134512640,52964,begnign
8,27,7,134512640,3788,begnign
9,29,7,134512640,48908,begnign
9,29,7,134512640,81644,begnign
8,28,7,0,28396,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,3852,begnign
9,29,7,134512640,32500,begnign
9,29,7,134512640,32500,begnign
8,28,7,134512640,3852,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,7940,begnign
8,28,7,134512640,3852,begnign
9,29,7,134512640,52964,begnign
8,28,7,134512640,12028,begnign
8,28,7,134512640,7924,begnign
9,29,7,134512640,52964,begnign
9,29,7,134512640,48908,begnign
8,28,7,0,43896,begnign
9,29,7,134512640,81660,begnign
8,28,7,134512640,12032,begnign
8,28,7,134512640,32524,begnign
8,28,7,134512640,20220,begnign
8,28,7,134512640,7940,begnign
9,29,7,134512640,44764,begnign
8,27,7,134512640,24332,begnign
8,28,7,134512640,40712,begnign
8,28,7,134512640,20228,begnign
8,28,7,134512640,12036,begnign
9,29,7,134512640,24332,begnign
9,29,7,134512640,16140,begnign
8,28,7,134512640,7948,begnign
9,29,7,134512640,36596,begnign
8,28,7,134512640,12044,begnign
8,27,7,0,7760,begnign
8,28,7,134512640,12028,begnign
8,28,7,134512640,7948,begnign
6,27,0,134512640,655248,begnign
9,28,7,0,36076,begnign
8,28,7,134512640,12036,begnign
8,28,7,134512640,7940,begnign
8,28,7,134512640,24332,begnign
8,28,7,134512640,7940,begnign
8,28,7,0,108628,begnign
8,27,7,0,7796,begnign
8,27,7,134512640,36344,begnign
9,29,7,134512640,73456,begnign
8,27,7,134512640,12044,begnign
8,28,7,0,35860,begnign
9,29,7,134512640,167652,begnign
8,28,7,134512640,20236,begnign
9,29,7,134512640,32500,begnign
8,28,7,134512640,3852,begnign
