@relation 'virus-weka.filters.unsupervised.attribute.Remove-R74,76,82-83,92-98-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute SECUR32.DLL {0,1}
@attribute SHLWAPI.DLL {0,1}
@attribute ImageBase numeric
@attribute CheckSum numeric
@attribute SizeOfStackReserve numeric
@attribute IMAGE_DIRECTORY_ENTRY_SECURITY.Size numeric
@attribute IMAGE_DIRECTORY_ENTRY_DEBUG.Size numeric
@attribute text.PointerToRelocations numeric
@attribute rsrc.Characteristics numeric
@attribute RT_MESSAGETABLE numeric
@attribute RT_GROUP_ICON numeric
@attribute RT_VERSION numeric
@attribute result {virus,begnign}

@data
0,0,1887043584,161173,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1550319616,94875,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1542586368,38676,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1530593280,340147,262144,0,28,0,1073741888,0,0,1,begnign
0,0,4194304,3379494,1048576,0,0,0,1073741888,0,2,1,begnign
0,0,1628635136,233115,262144,0,28,0,1073741888,0,6,1,begnign
0,0,1548681216,161331,262144,0,28,0,1073741888,0,2,1,begnign
0,0,268435456,78561,262144,0,0,0,1073741888,0,1,1,begnign
0,0,1547173888,324566,262144,0,28,0,1073741888,0,11,1,begnign
0,0,1661796352,205427,262144,0,28,0,3221225536,0,4,0,begnign
0,0,1661665280,64993,262144,0,28,0,1342177344,0,0,1,begnign
0,0,1701838848,111756,262144,0,28,0,1073741888,0,4,1,begnign
0,0,1701642240,91243,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1701249024,223760,262144,0,28,0,1073741888,0,4,0,begnign
0,0,1690566656,10128510,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,4194304,96636,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,1665269760,426994,1048576,0,28,0,1073741888,0,50,1,begnign
0,0,1664483328,777760,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,4194304,113227,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,1664352256,121580,1048576,0,28,0,1342177344,0,0,1,begnign
0,0,4194304,352923,1048576,0,28,0,1073741888,0,1,1,begnign
0,0,4194304,170953,1048576,0,28,0,1073741888,0,6,1,begnign
0,0,4194304,252939,1048576,0,28,0,0,0,0,0,begnign
0,0,4194304,243374,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,4194304,255891,1048576,0,28,0,1073741888,0,2,1,begnign
0,0,4194304,47260,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,4194304,273803,1048576,0,28,0,1073741888,0,2,1,begnign
0,0,1664024576,284213,1048576,0,28,0,3221225536,0,12,1,begnign
0,0,1677066240,13522874,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,1663369216,471863,1048576,0,28,0,1342177344,0,0,1,begnign
0,0,1662976000,335436,1048576,0,28,0,3221225536,0,4,1,begnign
0,0,1662451712,240410,1048576,0,28,0,3221225536,0,3,1,begnign
0,0,1661337600,203319,1048576,0,28,0,3221225536,0,2,1,begnign
0,0,1659961344,451777,1048576,0,28,0,3221225536,0,38,1,begnign
0,0,1659830272,147438,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,990904320,125143,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,979369984,58421,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,849844,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,1011092,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,10663950,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,144481,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,14739542,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,866414,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,979369984,9617627,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,1666777088,168460,262144,0,28,0,1073741888,0,13,1,begnign
0,0,16777216,69099,262144,0,28,0,1073741888,0,0,1,begnign
0,0,16777216,117310,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1666908160,10148349,1048576,0,0,0,1073741888,0,0,1,begnign
0,0,1666646016,98735,262144,0,28,0,3221225536,0,1,1,begnign
0,0,1700724736,60779,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1666514944,163967,1048576,0,28,0,3221225536,0,0,1,begnign
0,0,4194304,313712,1048576,0,28,0,1073741888,0,7,1,begnign
0,0,1663893504,111778,1048576,0,28,0,1073741888,0,0,1,begnign
0,0,1662386176,18020,262144,0,28,0,1073741888,0,4,1,begnign
0,0,1662320640,85689,1048576,0,28,0,3221225536,0,4,1,begnign
0,0,1662255104,17084,262144,0,28,0,3221225536,0,4,1,begnign
0,0,1662189568,48856,262144,0,28,0,3221225536,0,4,1,begnign
0,1,16777216,230774,262144,0,28,0,1073741888,0,1,1,begnign
0,0,4194304,0,1048576,0,0,0,1073741888,0,3,0,begnign
0,0,4194304,0,1048576,0,56,0,1073741888,0,1,0,begnign
0,0,1898381312,47119,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1898119168,231611,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1898053632,52052,262144,0,28,0,1073741888,0,1,1,begnign
0,0,1636106240,57575,262144,0,28,0,1073741888,0,1,1,begnign
0,0,1897857024,50306,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1897791488,44268,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1897725952,102711,262144,0,28,0,1073741888,0,0,1,begnign
0,0,16777216,318917,262144,0,28,0,1073741888,0,2,1,begnign
0,0,4194304,67061,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1896087552,89101,262144,0,28,0,1073741888,0,0,1,begnign
0,0,1618935808,50555,262144,0,28,0,1073741888,0,1,1,begnign
0,0,1979383808,34182,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,46537,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,54683,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,49350,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,64576,262144,0,0,0,1073741888,0,0,1,begnign
0,0,4194304,85271,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,67650,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,44648,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,44690,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,45882,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,57260,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,63823,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,86380,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,79500,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,53037,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,40354,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,39343,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,48387,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,51694,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,59349,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,43199,262144,0,0,0,1073741888,0,0,1,begnign
0,0,1979383808,79863,262144,0,0,0,1073741888,0,0,1,begnign
0,1,1994194944,90451,262144,0,28,0,1073741888,0,0,1,begnign
0,0,16777216,558230,262144,0,28,0,1073741888,0,1,1,begnign
0,0,65536,171711,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,62670,262144,0,84,0,1107296320,0,0,1,begnign
0,0,65536,112555,262144,0,28,0,1107296320,0,0,1,begnign
0,0,268435456,0,1048576,0,0,0,1073741888,0,3,1,begnign
0,0,65536,164104,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,219157,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,96055,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,893372,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,300653,262144,6936,28,0,1107296320,0,0,1,begnign
0,0,65536,316569,262144,6680,28,0,1107296320,0,0,1,begnign
0,0,65536,63134,262144,0,84,0,1107296320,0,0,1,begnign
0,0,65536,76298,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,74195,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,370719,262144,0,28,0,1073741888,0,10,1,begnign
0,0,65536,137969,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,413873,262144,0,28,0,1073741888,0,10,1,begnign
0,0,65536,153102,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,371246,262144,0,28,0,1073741888,0,10,1,begnign
0,0,65536,149064,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,372401,262144,0,28,0,1073741888,0,10,1,begnign
0,0,65536,137822,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,91152,262144,0,84,0,1107296320,0,0,1,begnign
0,0,65536,83709,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,4194304,141235,262144,6960,28,0,1073741888,0,2,1,begnign
0,0,65536,98585,262144,0,84,0,1107296320,0,0,1,begnign
0,0,65536,251004,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,4194304,135112,262144,6696,28,0,1073741888,0,2,1,begnign
0,0,65536,35761,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,65536,77520,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,65536,128657,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,4194304,115367,262144,6960,28,0,1073741888,0,2,1,begnign
0,0,65536,31309,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,65536,72793,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,65536,152963,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,4194304,87335,262144,6960,28,0,1073741888,0,2,1,begnign
0,0,65536,28891,262144,6960,28,0,1107296320,0,0,1,begnign
0,0,65536,100172,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,124380,262144,0,28,0,1073741888,0,2,1,begnign
0,0,65536,39473,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,145448,262144,0,28,0,1107296320,0,0,1,begnign
0,0,4194304,85834,262144,0,28,0,1073741888,0,2,1,begnign
0,0,65536,39473,262144,0,28,0,1107296320,0,0,1,begnign
0,0,65536,274085,262144,6960,28,0,1107296320,0,0,1,begnign
